ITEM: TIMESTEP
20000
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS pp pp pp
-3.3381663048377419e-02 1.2183381663048412e+01
-3.3381663045629395e-02 1.2183381662045530e+01
-3.3381663045629395e-02 1.2183381662045530e+01
ITEM: ATOMS id type mass x y z vx vy vz
3 1 26.9815 1.86463 0.0170526 1.95474 -3.8584 7.01891 2.77902
5 1 26.9815 0.0760953 -0.0313463 3.93223 4.50719 1.09797 -0.654809
8 1 26.9815 1.97281 2.04316 4.06754 2.38388 5.62299 2.03741
15 1 26.9815 1.99816 4.02579 2.02931 -10.68 2.52472 0.746386
38 1 26.9815 4.01753 1.83239 1.96671 1.04572 5.43878 2.05624
53 1 26.9815 4.13272 4.05605 3.83254 4.33526 5.03835 -3.55754
16 1 26.9815 1.94493 5.98187 0.00592903 -1.8983 -0.356326 1.41795
20 1 26.9815 1.96699 6.0549 4.03508 7.22285 6.23229 1.88353
42 1 26.9815 4.04448 2.12948 6.06725 1.3527 -1.05858 4.75797
2 1 26.9815 -0.0268415 2.14644 1.97194 -1.25231 -0.921338 -5.75521
44 1 26.9815 5.93812 1.87979 4.07938 1.38635 -0.150607 -0.797848
41 1 26.9815 4.07005 0.0832145 3.9397 2.77935 -3.36143 -2.8324
50 1 26.9815 4.00773 5.97763 1.91726 -1.30614 -2.47993 0.783542
55 1 26.9815 6.06065 4.07482 6.04687 -4.19185 0.532692 0.492917
40 1 26.9815 6.0762 2.13214 0.000718773 -4.1442 2.64932 -1.20695
17 1 26.9815 11.9794 4.0428 4.04938 -0.21051 0.218327 2.2443
51 1 26.9815 6.11599 3.95993 2.15259 -5.8712 3.02443 0.181092
74 1 26.9815 8.09739 1.96581 2.06403 -2.52801 -0.189896 -0.477688
76 1 26.9815 10.0853 1.94985 0.00691538 -3.39224 7.716 4.40272
80 1 26.9815 10.258 1.97273 4.22422 1.34211 2.27151 -1.27863
87 1 26.9815 10.1772 4.00855 1.89501 -2.3784 1.11991 2.76281
89 1 26.9815 8.33569 4.04798 4.01513 -0.480594 1.16194 -0.225696
86 1 26.9815 8.12757 6.01929 2.02984 -1.2649 0.331532 0.1156
92 1 26.9815 10.1097 6.01987 3.91463 -0.577759 -4.2194 -2.92648
85 1 26.9815 8.1913 4.03135 -0.023667 -1.43265 2.50319 -5.72916
18 1 26.9815 12.1174 5.92578 5.88445 7.21086 -2.25599 1.29013
14 1 26.9815 -0.000985383 6.20425 2.06023 1.94593 0.0865726 0.376508
27 1 26.9815 1.92686 8.12624 2.01635 -2.87752 -3.70466 -0.663918
32 1 26.9815 2.05951 10.1915 4.06669 -1.01297 -3.70784 -5.01751
62 1 26.9815 3.88723 10.1382 1.97602 -1.77247 3.04194 -5.49698
65 1 26.9815 3.98671 8.1033 4.13119 -2.80319 3.29115 -2.61734
30 1 26.9815 0.0129992 10.286 5.93773 -1.57618 -4.54588 2.70067
31 1 26.9815 2.06065 7.9867 6.01781 5.24107 0.631472 -0.142548
66 1 26.9815 3.98692 10.296 6.01589 -5.73306 2.51781 -5.60539
68 1 26.9815 5.96552 10.0922 3.95037 5.0985 0.268562 -0.869167
1 1 26.9815 0.141447 12.1371 0.0348024 3.30215 -2.56973 -0.0245574
61 1 26.9815 4.02754 7.93024 0.0462149 0.314043 0.201161 4.55421
56 1 26.9815 6.14742 6.09961 4.03944 1.26638 -0.496228 -1.94535
25 1 26.9815 12.1008 8.07551 0.026851 2.30433 -1.94122 3.51661
29 1 26.9815 12.0453 8.12923 4.06281 -2.35649 -1.1063 1.94714
39 1 26.9815 6.19015 12.158 2.00058 1.19313 1.66801 -0.281617
75 1 26.9815 10.2368 12.1696 2.03137 -0.76033 0.356309 2.56323
77 1 26.9815 8.03007 12.1353 4.17722 -1.84685 2.73566 1.55893
26 1 26.9815 12.0401 10.0356 1.98108 1.98957 -4.77704 -0.29138
63 1 26.9815 6.10866 8.19932 2.05779 0.881377 -0.0569605 0.258837
98 1 26.9815 8.08928 10.2893 2.05866 -5.11394 -4.05158 0.588924
99 1 26.9815 10.1131 8.1105 2.04707 4.15653 -7.63704 -4.39539
101 1 26.9815 8.2037 8.12986 4.1105 0.810994 -0.366851 0.894091
