LAMMPS data file via write_data, version 29 Aug 2024, timestep = 30000, units = metal

108 atoms
2 atom types

-0.03338166304837742 12.183381663048412 xlo xhi
-0.033381663045629395 12.18338166204553 ylo yhi
-0.033381663045629395 12.18338166204553 zlo zhi

Masses

1 26.9815385
2 1

Atoms # atomic

8 1 1.9290900529145376 1.9809239269497885 3.979515889119053 0 0 0
15 1 1.9510929891468156 4.001282271732828 2.016303805234298 0 0 0
38 1 4.09270247616197 1.901008066868862 1.8838278715748347 0 0 0
53 1 4.127820345361209 3.971545046085342 4.148257706653144 0 0 0
44 1 5.953323851661317 1.875000930001886 4.199719300413807 0 0 0
50 1 3.9982183140005207 6.025796492761275 2.0757343904014838 0 0 0
51 1 6.029046294796762 4.0999162709902786 2.085779904834393 0 0 0
4 1 1.9822144866034654 2.1193379601077846 0.08020009318140531 0 0 0
49 1 4.3287872662027596 4.038012316024337 -0.005419135921739482 0 0 0
19 1 2.198949407161068 4.201860666447699 5.945678154167678 0 0 0
2 1 12.142856885959487 1.933131668253658 2.0278725065595506 -1 0 0
17 1 12.108213854994714 4.078528403153512 4.082546184209656 -1 0 0
74 1 7.998277941126593 2.038261212356487 2.010312354906348 0 0 0
76 1 10.020650699254686 2.142190435676221 0.04238937935113559 0 0 0
80 1 10.10034712844308 2.1202981319187235 4.135812968882865 0 0 0
87 1 10.190092104572093 4.009032460298721 1.9894027538006356 0 0 0
89 1 8.092075223540196 4.007750168786964 3.997317676021183 0 0 0
85 1 8.046732954897713 3.9854309775686576 -0.003955696722257112 0 0 0
77 1 8.163414590612556 0.08736315808769568 3.978343565146298 0 0 0
13 1 12.154747669761207 4.212445385753852 0.1597182591435402 -1 0 0
90 1 8.05196971202154 6.059886464774277 6.038264340595537 0 0 0
3 1 1.8986263482110897 12.181842902555717 1.8287660250001498 0 -1 0
16 1 2.088537336203441 6.124673619102084 0.03555696986247833 0 0 0
20 1 2.1004812559067365 6.0836985851198335 3.8647427997011294 0 0 0
41 1 3.972716694560865 12.10804552926698 4.141796950656881 0 -1 0
14 1 0.06509638386842019 6.206815501088048 2.025590087473332 0 0 0
27 1 2.0656701976178544 8.226767207851122 1.8857205552143557 0 0 0
32 1 1.8296920219930488 10.204932932821825 4.007387589242875 0 0 0
62 1 4.009035892727282 10.239265190109652 1.9606100019269044 0 0 0
65 1 4.036189427350691 8.068675511618869 4.037750842850615 0 0 0
31 1 1.9817655775098406 7.906199504441745 5.91743399012145 0 0 0
61 1 3.957620952548619 8.07639739664967 0.15168477433722635 0 0 0
29 1 -0.010289611824346068 8.034671301795337 4.143665664083983 0 0 0
52 1 6.062998739758016 6.163739853839972 -0.02342313490631262 0 0 0
54 1 4.130807142490661 6.104750840661165 6.013170432832119 0 0 0
5 1 11.967230004969851 12.092346185577817 4.167311417943072 -1 -1 0
86 1 8.088062238610283 6.112005290886063 1.8652962197753749 0 0 0
92 1 10.183287816264427 6.199668131128173 4.095221192538963 0 0 0
68 1 6.2143262342924634 10.225832894571655 3.9286066004539917 0 0 0
56 1 6.104284591092654 6.182776024860132 4.010476446365417 0 0 0
39 1 6.155340393975105 12.069124076654088 2.0177516068694916 0 -1 0
75 1 10.162662954491548 12.037361638947722 2.072670886243767 0 -1 0
26 1 12.143496452194569 9.950785869268206 1.8827620554600593 -1 0 0
63 1 6.22336998836767 8.0618395789026 1.969561717629744 0 0 0
98 1 8.057870422592528 10.031191848036679 1.9252876085540225 0 0 0
99 1 10.103366063524323 8.13742169604627 1.8988850578376975 0 0 0
101 1 8.125748505431561 8.057124586520711 3.9648830886065527 0 0 0
104 1 10.002800572183354 9.98347347009174 3.9506037984760534 0 0 0
67 1 6.172471687459809 8.179085440500847 6.050004735642562 0 0 0
64 1 6.144552927100789 9.938321446942364 0.09600060826629431 0 0 0
79 1 10.17832680918803 12.07588791588253 6.0326943136829785 0 -1 0
42 1 4.034708551625019 2.0121982878206155 6.07819789512894 0 0 0
55 1 5.897209591586533 4.087943484717085 6.152557703295908 0 0 0
7 1 1.9758973872753094 -0.017072819403609406 6.159823485036037 0 0 0
12 1 2.0052347936235866 2.1326093948782434 8.008209720508075 0 0 0
23 1 2.025724055460834 4.204545787282032 10.351726608223087 0 0 0
46 1 3.9880840051844793 2.056299221792787 10.464945052035343 0 0 0
57 1 3.938055080387414 4.018461333564882 8.261214335049713 0 0 0
48 1 6.006128362983743 2.027043946973975 8.100021961249901 0 0 0
10 1 0.02837412426350368 2.2060617032888112 10.204167996701495 0 0 0
21 1 -0.00559127283957893 4.164032200673873 8.15549615821194 0 0 0
58 1 4.147007709317397 6.057220755232645 10.118810702082312 0 0 0
45 1 4.031980748942847 0.05077999967290303 8.165245372876692 0 0 0
40 1 6.181330148616492 1.908372184187487 12.130965865323125 0 0 -1
18 1 12.129366488315728 6.034611928248679 6.07739358237351 -1 0 0
1 1 11.978534248653911 0.09548351408007072 12.10663362120478 -1 0 -1
73 1 8.179855606345782 0.07023304715152356 12.177972511250584 0 0 -1
6 1 12.063056530811869 2.019073145238151 6.167371584297908 -1 0 0
91 1 10.125267450496013 4.11757974728705 6.120649024640568 0 0 0
59 1 6.137852445320117 4.029845189968869 10.113988661640875 0 0 0
78 1 8.142437394423316 2.024318036506403 6.226943471191804 0 0 0
82 1 8.063482563819795 2.0420530156397563 10.143104752094649 0 0 0
84 1 10.165327757437227 1.9155229291043723 8.195205239287425 0 0 0
93 1 8.198280524410007 4.199671267479173 8.125833585848246 0 0 0
95 1 10.237865112147604 4.03131694137437 9.993811072487327 0 0 0
94 1 8.195715385055005 6.062022752212258 10.100050698639972 0 0 0
88 1 10.046590299716769 5.975528881528127 12.10657859682311 0 0 -1
66 1 4.064225139804255 10.030405876255736 6.154967659805873 0 0 0
43 1 6.001055499103675 12.171189640712937 6.113531261074663 0 -1 0
9 1 0.05866646708846801 12.166905892304811 8.120764131154022 0 -1 0
28 1 1.9652334433782384 10.152424417381477 12.055461025490478 0 0 -1
47 1 5.9522851648449 12.086790088204175 10.091154944649615 0 -1 0
24 1 2.0423180921680144 6.1124903108934365 8.245281320460982 0 0 0
37 1 3.9556251563113785 12.007886589711909 12.078765676033793 0 -1 -1
11 1 1.8816485096674684 12.181689806137864 10.268360847979256 0 -1 0
35 1 2.0097547365969493 8.113972146037652 10.225280055321415 0 0 0
36 1 2.1955127101900285 10.247264071205715 8.06468200089152 0 0 0
69 1 4.158746963263359 7.906883582816468 8.089978906527461 0 0 0
70 1 4.138887635094091 9.975986720122407 10.114736785632608 0 0 0
33 1 0.030799985478196814 8.077269442086724 7.988565332840359 0 0 0
34 1 0.06397155048713365 10.131947788551487 10.115791168493395 0 0 0
72 1 6.016459708131148 9.967919052513894 8.008509937058914 0 0 0
30 1 12.173012997510645 10.129273499562592 6.132704117390929 -1 0 0
25 1 12.165631951816012 8.128003138414007 12.04540836943005 -1 0 -1
100 1 10.229069400656655 10.090296217068083 12.021029898134726 0 0 -1
102 1 8.00639929416042 10.25202733839292 6.244478891472674 0 0 0
103 1 9.960098013718325 8.244861293734022 6.150629719349651 0 0 0
81 1 8.08820636384518 12.165248195392198 8.035664405427019 0 -1 0
83 1 10.092548086137608 12.094676062893967 10.13178922072708 0 -1 0
22 1 12.06382514656097 6.083852798448623 10.076838663981317 -1 0 0
97 1 8.221813605741728 7.995436379701211 12.027704147449521 0 0 -1
60 1 6.134093828758181 6.147680170634735 8.04489778784985 0 0 0
96 1 10.10427286405736 6.209758915757164 8.113760038093007 0 0 0
71 1 6.157435952472943 8.007114260550109 10.116426285551809 0 0 0
105 1 8.202731985158431 8.123428974876019 8.141447862732463 0 0 0
106 1 7.932865580017249 10.184244951851133 10.125367941152776 0 0 0
107 1 10.335465752355931 8.151762691518702 10.056678808923309 0 0 0
108 1 10.336319704361529 10.148882715021882 8.106330348365608 0 0 0

Velocities

8 -2.3209562564499344 -5.693302015763966 -1.7041714482824182
15 -0.9455048559996359 -3.745885416382599 -3.6664882448241665
38 -1.6190219173891185 1.4788977474626885 0.6332370556667141
53 -1.310765904983373 3.637856471954011 -2.3530463625087745
44 -1.9108979503067678 -0.34995480067261686 3.7031647574449607
50 -0.46525598734260787 -1.0089810878187424 -1.8576599301943637
51 -2.4401147058210872 -2.2731842082656835 2.080592252518278
4 -1.8742783373571519 5.102908535721862 -3.652411809432928
49 0.8688076525134562 2.2143303042505345 2.816018088749653
19 1.1183595555430985 2.6357532228977605 2.4615545810377557
2 0.9662673488586556 2.7169957470919863 1.8265128989742108
17 -5.38865979279885 -5.285409516469733 2.327887568434419
74 4.622100415329205 3.7133556444900986 1.5018786363554215
76 0.6405043650770592 -4.905132926557346 5.764534776462778
80 0.23834073272084477 2.359333744625887 3.6882867519078992
87 -1.6238338738286093 -3.4691937168987073 0.4025361096126869
89 2.2525275391446575 -0.02874890215783839 -0.8303608936611702
85 1.7052030224316344 -5.382834590011919 -2.814732059468014
77 2.726342658599448 -4.430992894416264 -0.3610218160025206
13 -1.324557494687117 2.439302967664444 -2.3524890681582065
90 2.93112027559037 -2.601016480912057 3.5976851098350804
3 -1.4862927182562695 5.30615517434978 1.062087374196684
16 -3.132941568952802 4.199169243199137 -0.3132866450782207
20 0.25036807833384367 -8.04471963078855 4.383571274583091
41 -3.6261888420472648 0.86100257820085 0.0832602944978619
14 -7.458136863235019 -1.7375887947002546 -3.090165465281913
27 0.10465510350510739 -0.9071815584584734 5.608174700218419
32 -8.468979015901013 0.8040469371781747 10.42400349432582
62 0.27202107482575877 1.6650453561891294 -2.685628046427732
65 0.24622145659547356 1.0501908211580782 2.5025253334509006
31 4.308425598093977 -2.1673866480925232 1.9812399907635185
61 -2.465485247552911 2.6921131195656876 -1.787625882145704
29 0.4089436136542114 -2.877987834051748 0.6606121761070803
52 2.8509804759415256 2.2640782789662777 -0.0017851917367721981
54 -2.035206006278814 -0.33542409096202336 0.38439427022783684
5 -2.0977541329960077 -0.3182851257043574 4.014882130075851
86 -2.8281396937717176 0.0502653212488087 -0.18788202327940956
92 1.5779518269599453 1.5238388603859403 1.2723600206577008
68 -8.875909764863943 -1.4338563678679417 -8.052655653529698
56 -0.555757830118962 -5.146116243274111 -2.4328419225272193
39 -1.9604379872159263 1.8146515990977155 -4.716628659038947
75 1.7582994616078025 0.8933727268687154 -4.3833849476611695
26 -0.7444331937388169 2.282591041921165 -2.311955530321961
63 -5.1841539956176 4.450494460163533 1.8487129380383671
98 -3.9694770568797058 0.9660360836845902 -3.7483115594842142
99 3.4489824580750934 -2.4271052734871854 -2.7457844859380747
101 -0.2458690600687101 2.4777172818148188 0.6864246185671297
104 1.659581677830291 -0.9025075086055753 -1.9006430089791482
67 -3.2683154492788553 -3.449365240179263 -0.7127092903183567
64 2.6061848538328984 -3.358717773269416 0.17791466861788577
79 -2.738522752441853 -2.8451034196667506 1.5899631625594992
42 3.64049061889082 -1.0668392288614585 1.1607812329187162
55 0.33373722081499607 -0.45686525797461214 4.129320888954778
7 -4.310277438293333 -0.8242110519430215 -5.563394446434129
12 0.968933204273124 -4.77876969005275 2.9986477582876008
23 1.5145132850948455 0.40194729232466314 -7.353080224164967
46 3.000041240911107 0.9471119946847211 -3.5984413880794817
57 0.9499651536932834 2.863617440485422 -4.1599428546527
48 -0.8548617991921301 2.151347372007451 0.9058897996194751
10 -0.09833560515715253 0.3211623497470212 1.9860336156169407
21 -4.072687017635502 -0.4620752631340623 1.9506705840569354
58 0.6760106138378111 5.191100088959897 0.8345389637250765
45 8.721289709402154 5.060811998333054 -3.078079460304588
40 -1.1962654399968962 -5.009038346273821 1.7871207119580745
18 0.6388192817924077 -0.7390696191189242 -7.438091828885941
1 0.8787265231221486 1.1693087427173672 1.197151187880657
73 -2.689917044212109 -2.932927348943613 -2.859136578055547
6 -2.4325523099604056 2.8910755198964933 -0.9427838286955063
91 -3.0382396148068302 -1.220412104696562 -3.052734174286298
59 -2.311334431754827 -1.4245302871696663 -4.707052695213372
78 2.762560659535272 -1.2676200306948529 -0.7425430408382163
82 4.5520821303615016 -3.242208764069362 -0.050636348002636486
84 1.8712195468023451 0.8387466411365527 1.1065362092317967
93 2.8857787397731616 -5.987179282877654 -0.2883800800826943
95 -0.9499275028667319 9.115253616562711 -1.8354310888252765
94 2.234598429774298 4.870795306820074 -1.2880855586365112
88 0.6849039219273351 -0.8621139468194305 -2.476380803368243
66 1.1065437612527425 2.6820900185574468 -0.2232571394793484
43 1.4320102947385147 -0.24109534330148658 4.603963096238038
9 4.808269876929393 0.15598304304697708 1.8525213621042407
28 2.2780221167960994 3.084905623826009 3.786881938786624
47 2.8770456125788986 -0.0052925132298139435 -5.44499334695323
24 1.2982494519378331 -2.012261781622767 1.8314786973806114
37 -2.3563938942717435 -2.6557523942295846 -1.98343471799729
11 -0.2550637268735521 1.4283840591645125 0.24581874634854375
35 -1.0799807289778884 0.8774993002346098 -2.7271183999784006
36 3.534151832417066 1.3038869587706126 -1.5710334744081695
69 -2.307188243580986 -0.5960599562721066 0.5558581136765509
70 1.660536358830753 -0.5220819281364886 2.8847988158323163
33 1.976830102842298 8.87385768148772 4.728976748377937
34 2.423014180471024 0.12216386298590387 4.9897926770476415
72 0.13379002868675388 2.675349040478102 2.4012084188103597
30 -0.7647396541306967 -1.3469071794738297 3.1824078617568534
25 -2.812827534331145 -3.108262858474265 -2.9672247442751765
100 -1.5772655665239284 -2.7379409496186264 -4.244768076382297
102 -3.380594034707785 -0.23063893716539505 -1.1320411267324304
103 2.1900282422245243 0.24211838531523924 0.5933479799604899
81 5.2550383524961335 -3.9789995049600098 -2.0642540908149245
83 -3.1977941777833436 1.1540770007332488 2.436825279079641
22 1.8408321460623744 8.332506696603057 0.09452573043226196
97 5.755985941782855 -4.32107658255768 2.2359068141609653
60 -2.197107744898617 -0.44501796702778496 4.973281411255359
96 -0.13671835536012797 4.147424000139185 -1.1443263476286094
71 1.6694579030309704 -1.2504917089168153 1.7451292726080136
105 2.9989183872105203 -0.6217814233882626 2.853545547827276
106 4.962238527994012 0.8228060270900185 -0.20682062305899412
107 1.0626810889149478 0.16788959370674517 2.749504042174872
108 1.2464163892260425 -2.019219609526369 -2.479342109479614
