ITEM: TIMESTEP
3000
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.2220000000000001e+01
0.0000000000000000e+00 1.2220000000000001e+01
0.0000000000000000e+00 1.2220000000000001e+01
ITEM: ATOMS id type mass x y z fx fy fz
8 1 26.9815 1.98206 2.15105 4.10806 -1.08983 1.45271 1.54093
15 1 26.9815 1.90737 4.06089 1.95346 1.88589 2.012 2.16476
38 1 26.9815 3.97643 2.07327 1.93476 -0.779301 -0.733223 -0.020231
53 1 26.9815 4.13908 4.04654 4.01893 1.29692 -1.46815 -1.11809
50 1 26.9815 3.99895 5.96262 1.96023 -1.08708 -0.276907 -1.04348
51 1 26.9815 6.14171 4.08246 2.22299 -0.276952 0.854338 0.311482
4 1 26.9815 1.86541 1.99705 -0.0947168 0.76763 -0.926836 1.6325
49 1 26.9815 4.10229 3.98978 -0.0815038 -1.01892 1.1007 0.658819
17 1 26.9815 -0.120696 4.25787 4.0547 -0.383024 -2.11848 -1.5642
16 1 26.9815 2.06562 6.04763 -0.122013 -0.185184 -0.919971 1.54471
20 1 26.9815 1.95156 6.12592 3.87689 0.630823 1.68218 -0.728458
14 1 26.9815 -0.0570571 6.21715 2.02603 1.69822 -0.762394 -1.93273
42 1 26.9815 4.07812 2.11402 6.17428 -0.0353358 -0.682321 -0.838713
55 1 26.9815 6.02767 4.09213 6.03355 0.169396 2.02746 0.545518
40 1 26.9815 6.14639 2.05826 0.0924643 1.323 -0.905748 -0.644754
43 1 26.9815 6.15283 -0.104143 6.15362 0.279674 1.52889 -1.66909
44 1 26.9815 6.10776 1.90477 4.03221 1.05539 -0.528999 -1.07037
2 1 26.9815 12.1292 1.99446 2.03562 -1.13302 1.09764 1.16136
74 1 26.9815 8.26871 2.02145 2.04248 -1.6309 -0.0561094 -0.483004
80 1 26.9815 10.1334 2.14871 4.23738 0.364326 -1.0819 -1.47068
87 1 26.9815 10.1455 4.1853 2.18957 -1.24841 -1.78481 0.207056
89 1 26.9815 8.23431 3.9622 4.14703 -0.665339 2.40024 -1.4271
77 1 26.9815 8.29401 0.0609404 4.11686 0.485681 1.01036 0.186821
13 1 26.9815 12.1971 4.13918 0.0517952 -0.720207 1.43891 -0.884027
5 1 26.9815 12.2574 -0.0174118 4.0065 -1.20169 0.423031 1.91345
92 1 26.9815 10.2688 6.15394 4.11531 -1.8063 1.79614 -1.70354
75 1 26.9815 10.2537 0.045036 2.10506 -2.33007 0.62808 1.6996
79 1 26.9815 10.2623 0.115383 5.95186 0.00829577 0.818896 0.826905
6 1 26.9815 12.1938 2.13974 6.06032 -1.25456 1.87796 0.070354
91 1 26.9815 10.1675 4.13547 6.12869 0.837551 -0.777391 1.91625
3 1 26.9815 1.79402 12.194 1.95214 -0.215049 0.1291 1.25898
41 1 26.9815 4.05949 12.2624 4.03202 0.58432 0.456101 -1.13693
27 1 26.9815 1.95769 8.19778 1.96865 -0.969227 -2.01665 -1.12853
32 1 26.9815 2.03092 10.3802 4.05368 1.53705 -1.73878 -1.566
62 1 26.9815 4.0839 10.3024 2.00125 0.411517 1.57194 -1.58385
65 1 26.9815 4.07017 7.98412 3.93742 0.345991 -0.430758 1.13399
31 1 26.9815 1.98151 8.07506 6.09291 1.6279 0.717472 -1.92309
61 1 26.9815 4.08475 8.04817 0.122946 -0.666653 -0.422124 1.18027
68 1 26.9815 6.19678 10.1137 4.06399 0.595486 1.12375 -1.14061
56 1 26.9815 6.17228 6.12876 3.92615 0.0897826 0.712268 -1.46891
39 1 26.9815 6.26276 12.2347 2.00028 -1.6679 0.570976 0.274862
26 1 26.9815 -0.0451716 10.3268 1.95445 -0.575403 -1.75719 -1.81431
67 1 26.9815 6.18855 8.03611 6.07158 -1.81629 0.125866 1.106
1 1 26.9815 0.0426498 12.2203 -0.274258 -0.81738 0.570859 1.01088
29 1 26.9815 12.2258 8.21086 4.08609 1.94549 -0.278748 -2.19653
86 1 26.9815 8.09175 6.28054 1.98254 1.91979 -1.98808 -1.64393
63 1 26.9815 6.06095 8.28929 1.92008 -0.0716543 -0.693778 -1.19935
98 1 26.9815 8.15795 10.2989 2.07239 -0.239865 -1.14241 0.436013
99 1 26.9815 10.1881 8.24828 2.05296 1.80441 -1.74408 0.559198
101 1 26.9815 8.1664 8.14526 4.16612 -1.81745 -0.111638 1.43495
104 1 26.9815 10.1707 10.1574 4.09633 -1.44921 1.92423 -0.713804
30 1 26.9815 12.1999 10.0139 6.03797 0.122617 1.21353 -1.52569
100 1 26.9815 10.175 10.3154 -0.0547433 0.4575 -2.11866 0.840832
102 1 26.9815 8.20106 10.1152 6.16997 0.18577 0.395243 -0.917606
19 1 26.9815 2.0472 4.13083 6.1427 -1.62594 2.02182 0.108954
12 1 26.9815 2.07841 2.05152 8.00774 -0.886191 -1.62454 0.842244
23 1 26.9815 2.02997 3.99333 10.16 0.518056 1.12371 0.875986
46 1 26.9815 3.94622 1.93664 10.0029 1.74284 1.36461 -0.153947
57 1 26.9815 3.92084 4.07803 8.09546 0.976723 -1.53137 2.1759
48 1 26.9815 6.01248 2.0985 8.1354 -0.193191 -1.32793 -0.42546
21 1 26.9815 0.126611 3.94727 8.18429 -2.26089 1.43673 0.266511
58 1 26.9815 4.12022 5.93325 10.1706 -0.268568 -0.859979 -2.00932
24 1 26.9815 2.05128 6.11159 8.2956 1.09025 0.00932644 0.130373
11 1 26.9815 2.21006 -0.172699 10.1697 1.20345 1.19159 0.22235
60 1 26.9815 6.24962 6.06158 8.28205 0.455972 -0.918968 1.06073
76 1 26.9815 10.2231 2.09715 12.2907 -0.418675 1.12472 -2.20246
85 1 26.9815 8.15296 4.07747 12.4172 0.388053 0.864517 -1.62204
10 1 26.9815 12.2862 1.95415 10.123 0.136339 0.38946 1.3149
73 1 26.9815 8.23383 -0.0641031 12.1495 -0.564304 -1.00637 1.67207
59 1 26.9815 6.1694 3.88332 10.1763 -0.692372 1.65512 -0.735734
78 1 26.9815 8.15244 1.90583 6.25397 1.40104 0.00387767 0.238753
82 1 26.9815 8.12873 2.11389 10.2021 1.66033 1.16523 1.06688
84 1 26.9815 10.2548 1.94678 8.18707 0.652753 0.0796352 0.25787
93 1 26.9815 8.18544 4.12213 8.23292 -1.89471 1.1657 1.60986
95 1 26.9815 9.93854 4.05222 10.174 2.83659 0.985434 1.20382
9 1 26.9815 12.3188 -0.0182902 7.95357 -1.87707 0.75005 -1.38602
22 1 26.9815 12.1788 5.92899 10.1702 0.902474 -0.923095 1.85255
96 1 26.9815 10.2933 5.94171 8.12317 -1.05682 0.801418 1.63329
54 1 26.9815 3.96078 6.14229 5.99959 1.11907 0.37749 2.02714
64 1 26.9815 6.10729 10.2513 12.2725 -1.23415 -0.363323 -2.02657
7 1 26.9815 1.95625 12.2045 6.2173 -0.995938 0.432033 0.559916
45 1 26.9815 4.20512 12.2453 8.17741 -2.32947 -0.194963 -1.30735
66 1 26.9815 4.21219 10.1996 6.06439 0.917318 -0.540815 1.54761
28 1 26.9815 2.05225 10.1201 12.3072 0.69271 0.439397 -1.86824
